date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,Notes
2023_01_20,FALSE,channel1,FF05494733,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-C1,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,AAANGLFHV,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230120_SL-NTA_20_AAANGLFHV_arcfastqs/fastq_path/AAANGLFHV,400,200,20,1000,20000,,,,TRUE,
2023_01_20,FALSE,channel1,FF06996406,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-B2,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,AAANGLFHV,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230120_SL-NTA_20_AAANGLFHV_arcfastqs/fastq_path/AAANGLFHV,400,200,20,1000,20000,,,,TRUE,
2023_01_20,FALSE,channel1,FF06996409,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-A2,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,AAANGLFHV,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230120_SL-NTA_20_AAANGLFHV_arcfastqs/fastq_path/AAANGLFHV,400,200,20,1000,20000,,,,TRUE,
2023_01_20,FALSE,channel1,FF06996927,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-H1,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,AAANGLFHV,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230120_SL-NTA_20_AAANGLFHV_arcfastqs/fastq_path/AAANGLFHV,400,200,20,1000,20000,,,,TRUE,
2023_02_26,FALSE,channel1,FF09460275_2,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-B7,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HCMC3DSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230226_SL-NSE_0597_AHCMC3DSX5_arcfastqs/fastq_path/HCMC3DSX5/,400,200,20,1000,20000,,,,TRUE,
2023_02_03,TRUE,channel1,FF04678107,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-F3,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HC25CDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230203_SL-NSH_1069_BHC25CDSX5_arcfastqs/fastq_path/HC25CDSX5/FF04678107_atac,400,200,20,1000,20000,,,,TRUE,
2023_02_03,TRUE,channel1,FF06996242,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-E3,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HC25CDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230203_SL-NSH_1069_BHC25CDSX5_arcfastqs/fastq_path/HC25CDSX5/FF06996242_atac,400,200,20,1000,20000,,,,TRUE,
2023_02_03,TRUE,channel1,FF06996385,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-D3,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HC25CDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230203_SL-NSH_1069_BHC25CDSX5_arcfastqs/fastq_path/HC25CDSX5/FF06996385_atac,400,200,20,1000,20000,,,,TRUE,
2023_02_03,TRUE,channel1,FF06997000,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-C3,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HC25CDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230203_SL-NSH_1069_BHC25CDSX5_arcfastqs/fastq_path/HC25CDSX5/FF06997000_atac,400,200,20,1000,20000,,,,TRUE,
2023_02_03,TRUE,channel1,FF06997033,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-F4,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HC25CDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230203_SL-NSH_1069_BHC25CDSX5_arcfastqs/fastq_path/HC25CDSX5/FF06997033_atac,400,200,20,1000,20000,,,,TRUE,
