date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns
2023_02_03,TRUE,channel1,FF08068365,atac,atac,nuclei,channel1,pbmc,*,SI-NA-E5,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HC25CDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230203_SL-NSH_1069_BHC25CDSX5,400,200,20,1000,20000,,,,TRUE
2023_02_03,TRUE,channel1,FF08068546,atac,atac,nuclei,channel1,pbmc,*,SI-NA-B4,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HC25CDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230203_SL-NSH_1069_BHC25CDSX5,400,200,20,1000,20000,,,,TRUE
2023_02_03,TRUE,channel1,FF08068546_2,atac,atac,nuclei,channel1,pbmc,*,SI-NA-H2,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HC25CDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230203_SL-NSH_1069_BHC25CDSX5,400,200,20,1000,20000,,,,TRUE
2023_02_03,TRUE,channel1,FF08068648,atac,atac,nuclei,channel1,pbmc,*,SI-NA-D4,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HC25CDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230203_SL-NSH_1069_BHC25CDSX5,400,200,20,1000,20000,,,,TRUE
2023_02_03,TRUE,channel1,FF08068671,atac,atac,nuclei,channel1,pbmc,*,SI-NA-C4,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HC25CDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230203_SL-NSH_1069_BHC25CDSX5,400,200,20,1000,20000,,,,TRUE
2023_02_03,TRUE,channel1,FF09451014,atac,atac,nuclei,channel1,pbmc,*,SI-NA-H12,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HC25CDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230203_SL-NSH_1069_BHC25CDSX5,400,200,20,1000,20000,,,,TRUE
2023_02_03,TRUE,channel1,FF09451054,atac,atac,nuclei,channel1,pbmc,*,SI-NA-B12,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HC25CDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230203_SL-NSH_1069_BHC25CDSX5,400,200,20,1000,20000,,,,TRUE
2023_02_03,TRUE,channel1,FF09451071,atac,atac,nuclei,channel1,pbmc,*,SI-NA-E11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HC25CDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230203_SL-NSH_1069_BHC25CDSX5,400,200,20,1000,20000,,,,TRUE
2023_02_03,TRUE,channel1,FF09451245,atac,atac,nuclei,channel1,pbmc,*,SI-NA-B11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HC25CDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230203_SL-NSH_1069_BHC25CDSX5,400,200,20,1000,20000,,,,TRUE
2023_02_03,TRUE,channel1,FF09458530,atac,atac,nuclei,channel1,pbmc,*,SI-NA-F12,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HC25CDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230203_SL-NSH_1069_BHC25CDSX5,400,200,20,1000,20000,,,,TRUE
