date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,batch,sequencing_system,flowcell_type,workflow,fastq_workflow,notes
2023_08_26,TRUE,channel1,pool_385_400_1_FF04679533,rna,rna,nuclei,channel1,pbmc,1-6,SI-TT-A6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_385_400_1_FF04679533/pool_385_400_1_FF04679533/pool_385_400_1_FF04679533_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_08_26,TRUE,channel1,pool_385_400_1_FF04678598,rna,rna,nuclei,channel1,pbmc,1-6,SI-TT-A6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_385_400_1_FF04678598/pool_385_400_1_FF04678598/pool_385_400_1_FF04678598_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_08_26,TRUE,channel1,pool_385_400_1_FF04679690,rna,rna,nuclei,channel1,pbmc,1-6,SI-TT-A6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_385_400_1_FF04679690/pool_385_400_1_FF04679690/pool_385_400_1_FF04679690_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_08_26,TRUE,channel1,pool_385_400_1_FF04679671,rna,rna,nuclei,channel1,pbmc,1-6,SI-TT-A6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_385_400_1_FF04679671/pool_385_400_1_FF04679671/pool_385_400_1_FF04679671_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_08_26,TRUE,channel1,pool_385_400_1_FF04678445,rna,rna,nuclei,channel1,pbmc,1-6,SI-TT-A6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_385_400_1_FF04678445/pool_385_400_1_FF04678445/pool_385_400_1_FF04678445_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_08_26,TRUE,channel1,pool_385_400_1_FF04679677,rna,rna,nuclei,channel1,pbmc,1-6,SI-TT-A6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_385_400_1_FF04679677/pool_385_400_1_FF04679677/pool_385_400_1_FF04679677_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_08_26,TRUE,channel1,pool_385_400_1_FF04678299,rna,rna,nuclei,channel1,pbmc,1-6,SI-TT-A6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_385_400_1_FF04678299/pool_385_400_1_FF04678299/pool_385_400_1_FF04678299_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_08_26,TRUE,channel1,pool_385_400_1_FF04679728,rna,rna,nuclei,channel1,pbmc,1-6,SI-TT-A6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_385_400_1_FF04679728/pool_385_400_1_FF04679728/pool_385_400_1_FF04679728_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_08_26,TRUE,channel1,pool_385_400_1_FF04679323,rna,rna,nuclei,channel1,pbmc,1-6,SI-TT-A6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_385_400_1_FF04679323/pool_385_400_1_FF04679323/pool_385_400_1_FF04679323_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_08_26,TRUE,channel1,pool_385_400_1_FF04678316,rna,rna,nuclei,channel1,pbmc,1-6,SI-TT-A6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_385_400_1_FF04678316/pool_385_400_1_FF04678316/pool_385_400_1_FF04678316_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_08_26,TRUE,channel1,pool_385_400_1_FF04678581,rna,rna,nuclei,channel1,pbmc,1-6,SI-TT-A6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_385_400_1_FF04678581/pool_385_400_1_FF04678581/pool_385_400_1_FF04678581_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_08_26,TRUE,channel1,pool_385_400_1_FF04678314,rna,rna,nuclei,channel1,pbmc,1-6,SI-TT-A6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_385_400_1_FF04678314/pool_385_400_1_FF04678314/pool_385_400_1_FF04678314_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_08_26,TRUE,channel1,pool_385_400_1_FF04679750,rna,rna,nuclei,channel1,pbmc,1-6,SI-TT-A6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_385_400_1_FF04679750/pool_385_400_1_FF04679750/pool_385_400_1_FF04679750_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_08_26,TRUE,channel1,pool_385_400_1_FF04678431,rna,rna,nuclei,channel1,pbmc,1-6,SI-TT-A6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_385_400_1_FF04678431/pool_385_400_1_FF04678431/pool_385_400_1_FF04678431_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_08_26,TRUE,channel1,pool_385_400_1_FF04679530,rna,rna,nuclei,channel1,pbmc,1-6,SI-TT-A6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_385_400_1_FF04679530/pool_385_400_1_FF04679530/pool_385_400_1_FF04679530_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_08_26,TRUE,channel1,pool_385_400_1_FF04678287,rna,rna,nuclei,channel1,pbmc,1-6,SI-TT-A6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_385_400_1_FF04678287/pool_385_400_1_FF04678287/pool_385_400_1_FF04678287_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_08_26,TRUE,channel1,pool_385_400_2_FF04679533,rna,rna,nuclei,channel1,pbmc,1-6,SI-TT-B6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_385_400_2_FF04679533/pool_385_400_2_FF04679533/pool_385_400_2_FF04679533_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_08_26,TRUE,channel1,pool_385_400_2_FF04678598,rna,rna,nuclei,channel1,pbmc,1-6,SI-TT-B6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_385_400_2_FF04678598/pool_385_400_2_FF04678598/pool_385_400_2_FF04678598_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_08_26,TRUE,channel1,pool_385_400_2_FF04679690,rna,rna,nuclei,channel1,pbmc,1-6,SI-TT-B6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_385_400_2_FF04679690/pool_385_400_2_FF04679690/pool_385_400_2_FF04679690_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_08_26,TRUE,channel1,pool_385_400_2_FF04679671,rna,rna,nuclei,channel1,pbmc,1-6,SI-TT-B6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_385_400_2_FF04679671/pool_385_400_2_FF04679671/pool_385_400_2_FF04679671_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
